sample_id,solarcell,blackmli,kaptonhn,dunmore,thermalbrightn,kaptonws
0,0.5962225817045373,0.0,0.0,0.2268454081566284,0.0,0.1769320101388342
1,0.5932160989593709,0.2448804641757506,0.0,0.0,0.0,0.1619034368648784
2,0.5732511509900979,0.2346576953283607,0.0,0.0,0.1920911536815413,0.0
3,0.5749614979730053,0.0,0.0,0.2806155297736357,0.144422972253359,0.0
4,0.5763621753367988,0.0,0.2937680684041457,0.0,0.1298697562590555,0.0
5,0.5641548917597833,0.2938883797791445,0.0,0.0,0.1419567284610722,0.0
6,0.5790253378589656,0.0,0.2282533984385352,0.0,0.1927212637024991,0.0
7,0.5768228413634341,0.0,0.0,0.2385197905232078,0.1846573681133581,0.0
8,0.5268431218319146,0.2777523262047132,0.0,0.0,0.0,0.1954045519633721
9,0.5832452228802122,0.0,0.0,0.2917577661648085,0.1249970109549791,0.0
11,0.5976184221173855,0.2233006902995718,0.0,0.0,0.1790808875830427,0.0
12,0.5950185041699598,0.0,0.0,0.2298086641143431,0.0,0.1751728317156969
13,0.5545360784226546,0.273059606460454,0.0,0.0,0.1724043151168914,0.0
14,0.5730610164647348,0.2322151652874384,0.0,0.0,0.0,0.1947238182478268
15,0.5492862390604555,0.0,0.0,0.2864172935614344,0.1642964673781101,0.0
16,0.5447384999621326,0.0,0.0,0.2567182825608144,0.1985432174770528,0.0
17,0.5799054427224046,0.2267858760316594,0.0,0.0,0.1933086812459359,0.0
18,0.5618453706765997,0.0,0.284284582667472,0.0,0.0,0.1538700466559282
19,0.5506681542030785,0.2598249819586035,0.0,0.0,0.0,0.189506863838318
20,0.5553189643946279,0.2821080878680322,0.0,0.0,0.16257294773734,0.0
21,0.5806034081500149,0.0,0.2480468474321767,0.0,0.1713497444178084,0.0
22,0.5417177224236969,0.0,0.0,0.2698581380716054,0.1884241395046977,0.0
24,0.5617406973927984,0.0,0.0,0.2658164787764716,0.0,0.1724428238307298
26,0.5460718990935732,0.0,0.2799688032396519,0.0,0.1739592976667746,0.0
27,0.5319637512896861,0.0,0.2924001295877556,0.0,0.1756361191225584,0.0
28,0.5615640512690635,0.0,0.2780972829527391,0.0,0.1603386657781973,0.0
29,0.5597290291130009,0.0,0.2612220010281975,0.0,0.0,0.1790489698588015
31,0.5456692716353353,0.0,0.0,0.2752428070361904,0.1790879213284742,0.0
32,0.580493234317701,0.2875769020397771,0.0,0.0,0.0,0.1319298636425218
33,0.5784166146474087,0.0,0.2559500613145706,0.0,0.1656333240380207,0.0
34,0.5787693250779025,0.0,0.2521429286864675,0.0,0.0,0.1690877462356299
35,0.5704976095812143,0.0,0.2881428759171656,0.0,0.0,0.1413595145016199
36,0.5380529469423011,0.0,0.0,0.2818073665730043,0.0,0.1801396864846945
37,0.5147408285854245,0.2876838960728093,0.0,0.0,0.1975752753417662,0.0
38,0.5978003539426512,0.0,0.0,0.2044736335137809,0.1977260125435679,0.0
40,0.5601893728981581,0.272376837326724,0.0,0.0,0.0,0.1674337897751179
41,0.5367532280841812,0.2921840954829315,0.0,0.0,0.1710626764328873,0.0
42,0.5683284946353921,0.0,0.0,0.2725731236783847,0.1590983816862233,0.0
43,0.5270873838900388,0.2795495629610548,0.0,0.0,0.0,0.1933630531489062
45,0.5642181249918911,0.0,0.0,0.2460046416081412,0.1897772333999678,0.0
46,0.5302783225889058,0.2788667837234854,0.0,0.0,0.0,0.1908548936876087
47,0.5898756511057371,0.2144664795300009,0.0,0.0,0.1956578693642619,0.0
48,0.5632989164270081,0.0,0.2695613556394791,0.0,0.1671397279335128,0.0
49,0.5615221923888045,0.0,0.0,0.2552597172678953,0.0,0.1832180903433
50,0.5562224470510889,0.2850091407215047,0.0,0.0,0.0,0.1587684122274062
51,0.5872961092700351,0.0,0.2152381695926142,0.0,0.1974657211373506,0.0
52,0.5732605433278071,0.0,0.2476492446795579,0.0,0.0,0.179090211992635
53,0.5619293661436322,0.2394874739253233,0.0,0.0,0.0,0.1985831599310444
56,0.5148553567697339,0.0,0.2972787642371973,0.0,0.0,0.1878658789930686
57,0.5998956072264956,0.0,0.0,0.2194956457617896,0.1806087470117148,0.0
58,0.5726432712091918,0.0,0.0,0.271559920277176,0.1557968085136321,0.0
61,0.5969018918517978,0.0,0.0,0.2850599326324241,0.1180381755157782,0.0
62,0.5706451712951038,0.299598632843127,0.0,0.0,0.0,0.129756195861769
64,0.5887239288072701,0.2854646636793582,0.0,0.0,0.1258114075133716,0.0
65,0.5940947813518,0.2622419830800625,0.0,0.0,0.1436632355681374,0.0
68,0.5406577463297308,0.2673393496533082,0.0,0.0,0.0,0.192002904016961
69,0.5474074958816152,0.0,0.0,0.2604100972742405,0.1921824068441441,0.0
71,0.5380109596870579,0.0,0.0,0.2668372743043378,0.0,0.1951517660086041
73,0.5932569793106184,0.0,0.2533170199580338,0.0,0.0,0.1534260007313477
74,0.5543886232965707,0.0,0.0,0.2461473985603496,0.1994639781430797,0.0
75,0.5564843415107469,0.0,0.2794142850416437,0.0,0.0,0.1641013734476095
77,0.5583212094167033,0.0,0.275685487739019,0.0,0.1659933028442777,0.0
79,0.5683632285875999,0.0,0.0,0.2785805954038747,0.1530561760085252,0.0
80,0.5812977762627441,0.2190483830157965,0.0,0.0,0.1996538407214594,0.0
81,0.5866601962334215,0.0,0.2287475282264984,0.0,0.18459227554008,0.0
82,0.5967161341217639,0.2107433933371063,0.0,0.0,0.1925404725411298,0.0
83,0.5288015652797634,0.0,0.0,0.2974769602678186,0.1737214744524177,0.0
84,0.5699207559152231,0.2425893992009403,0.0,0.0,0.0,0.1874898448838367
85,0.5774389862919347,0.0,0.2816044123069063,0.0,0.0,0.1409566014011589
87,0.594557343214385,0.2587785931389016,0.0,0.0,0.0,0.1466640636467133
89,0.5896433493137877,0.279427699553511,0.0,0.0,0.1309289511327011,0.0
